layout,layoutCount,algorithm,iteration,cost,expandedNodes,score,result
tiny,0,dfs,0,1,1,509,Win
tiny,0,dfs,1,10,30,500,Win
tiny,0,dfs,2,7,11,503,Win
tiny,0,dfs,3,5,12,505,Win
tiny,0,dfs,4,9,14,501,Win
tiny,0,dfs,5,3,3,507,Win
tiny,0,dfs,6,5,19,505,Win
tiny,0,dfs,7,1,1,509,Win
tiny,0,dfs,8,3,12,507,Win
tiny,0,dfs,9,5,6,505,Win
tiny,0,bfs,0,1,2,509,Win
tiny,0,bfs,1,6,13,504,Win
tiny,0,bfs,2,7,17,503,Win
tiny,0,bfs,3,5,17,505,Win
tiny,0,bfs,4,9,22,501,Win
tiny,0,bfs,5,3,11,507,Win
tiny,0,bfs,6,5,16,505,Win
tiny,0,bfs,7,1,1,509,Win
tiny,0,bfs,8,3,8,507,Win
tiny,0,bfs,9,3,7,507,Win
tiny,0,ucs,0,1,2,509,Win
tiny,0,ucs,1,6,13,504,Win
tiny,0,ucs,2,7,17,503,Win
tiny,0,ucs,3,5,17,505,Win
tiny,0,ucs,4,9,22,501,Win
tiny,0,ucs,5,3,11,507,Win
tiny,0,ucs,6,5,16,505,Win
tiny,0,ucs,7,1,1,509,Win
tiny,0,ucs,8,3,8,507,Win
tiny,0,ucs,9,3,7,507,Win
tiny,0,astar,0,1,1,509,Win
tiny,0,astar,1,6,7,504,Win
tiny,0,astar,2,7,8,503,Win
tiny,0,astar,3,5,6,505,Win
tiny,0,astar,4,9,12,501,Win
tiny,0,astar,5,3,3,507,Win
tiny,0,astar,6,5,6,505,Win
tiny,0,astar,7,1,1,509,Win
tiny,0,astar,8,3,4,507,Win
tiny,0,astar,9,3,4,507,Win
tiny,0,bds,0,1,1,509,Win
tiny,0,bds,1,6,7,504,Win
tiny,0,bds,2,7,18,503,Win
tiny,0,bds,3,5,12,505,Win
tiny,0,bds,4,9,28,501,Win
tiny,0,bds,5,3,7,507,Win
tiny,0,bds,6,5,9,505,Win
tiny,0,bds,7,1,1,509,Win
tiny,0,bds,8,3,5,507,Win
tiny,0,bds,9,3,3,507,Win
tiny,0,hbds,0,1,1,509,Win
tiny,0,hbds,1,6,7,504,Win
tiny,0,hbds,2,7,10,503,Win
tiny,0,hbds,3,5,6,505,Win
tiny,0,hbds,4,9,18,501,Win
tiny,0,hbds,5,3,4,507,Win
tiny,0,hbds,6,5,6,505,Win
tiny,0,hbds,7,1,1,509,Win
tiny,0,hbds,8,3,3,507,Win
tiny,0,hbds,9,3,3,507,Win
tiny,1,dfs,0,10,28,500,Win
tiny,1,dfs,1,10,10,500,Win
tiny,1,dfs,2,10,15,500,Win
tiny,1,dfs,3,3,3,507,Win
tiny,1,dfs,4,9,13,501,Win
tiny,1,dfs,5,20,23,490,Win
tiny,1,dfs,6,6,32,504,Win
tiny,1,dfs,7,4,22,506,Win
tiny,1,dfs,8,6,32,504,Win
tiny,1,dfs,9,5,5,505,Win
tiny,1,bfs,0,8,19,502,Win
tiny,1,bfs,1,4,10,506,Win
tiny,1,bfs,2,6,17,504,Win
tiny,1,bfs,3,1,1,509,Win
tiny,1,bfs,4,9,26,501,Win
tiny,1,bfs,5,14,24,496,Win
tiny,1,bfs,6,6,14,504,Win
tiny,1,bfs,7,4,7,506,Win
tiny,1,bfs,8,6,14,504,Win
tiny,1,bfs,9,1,1,509,Win
tiny,1,ucs,0,8,19,502,Win
tiny,1,ucs,1,4,10,506,Win
tiny,1,ucs,2,6,17,504,Win
tiny,1,ucs,3,1,1,509,Win
tiny,1,ucs,4,9,26,501,Win
tiny,1,ucs,5,14,24,496,Win
tiny,1,ucs,6,6,14,504,Win
tiny,1,ucs,7,4,7,506,Win
tiny,1,ucs,8,6,14,504,Win
tiny,1,ucs,9,1,1,509,Win
tiny,1,astar,0,8,9,502,Win
tiny,1,astar,1,4,5,506,Win
tiny,1,astar,2,6,6,504,Win
tiny,1,astar,3,1,1,509,Win
tiny,1,astar,4,9,12,501,Win
tiny,1,astar,5,14,18,496,Win
tiny,1,astar,6,6,6,504,Win
tiny,1,astar,7,4,4,506,Win
tiny,1,astar,8,6,6,504,Win
tiny,1,astar,9,1,1,509,Win
tiny,1,bds,0,8,14,502,Win
tiny,1,bds,1,4,7,506,Win
tiny,1,bds,2,6,17,504,Win
tiny,1,bds,3,1,1,509,Win
tiny,1,bds,4,9,16,501,Win
tiny,1,bds,5,14,25,496,Win
tiny,1,bds,6,6,8,504,Win
tiny,1,bds,7,4,4,506,Win
tiny,1,bds,8,6,8,504,Win
tiny,1,bds,9,1,1,509,Win
tiny,1,hbds,0,8,8,502,Win
tiny,1,hbds,1,4,5,506,Win
tiny,1,hbds,2,6,7,504,Win
tiny,1,hbds,3,1,1,509,Win
tiny,1,hbds,4,9,11,501,Win
tiny,1,hbds,5,14,31,496,Win
tiny,1,hbds,6,6,7,504,Win
tiny,1,hbds,7,4,4,506,Win
tiny,1,hbds,8,6,7,504,Win
tiny,1,hbds,9,1,1,509,Win
tiny,2,dfs,0,8,12,502,Win
tiny,2,dfs,1,15,23,495,Win
tiny,2,dfs,2,5,20,505,Win
tiny,2,dfs,3,5,26,505,Win
tiny,2,dfs,4,18,28,492,Win
tiny,2,dfs,5,5,6,505,Win
tiny,2,dfs,6,6,7,504,Win
tiny,2,dfs,7,9,14,501,Win
tiny,2,dfs,8,10,26,500,Win
tiny,2,dfs,9,4,7,506,Win
tiny,2,bfs,0,6,22,504,Win
tiny,2,bfs,1,13,23,497,Win
tiny,2,bfs,2,5,13,505,Win
tiny,2,bfs,3,3,4,507,Win
tiny,2,bfs,4,16,28,494,Win
tiny,2,bfs,5,5,11,505,Win
tiny,2,bfs,6,6,7,504,Win
tiny,2,bfs,7,9,21,501,Win
tiny,2,bfs,8,10,25,500,Win
tiny,2,bfs,9,4,7,506,Win
tiny,2,ucs,0,6,22,504,Win
tiny,2,ucs,1,13,23,497,Win
tiny,2,ucs,2,5,13,505,Win
tiny,2,ucs,3,3,4,507,Win
tiny,2,ucs,4,16,28,494,Win
tiny,2,ucs,5,5,11,505,Win
tiny,2,ucs,6,6,7,504,Win
tiny,2,ucs,7,9,21,501,Win
tiny,2,ucs,8,10,25,500,Win
tiny,2,ucs,9,4,7,506,Win
tiny,2,astar,0,6,11,504,Win
tiny,2,astar,1,13,17,497,Win
tiny,2,astar,2,5,7,505,Win
tiny,2,astar,3,3,4,507,Win
tiny,2,astar,4,16,28,494,Win
tiny,2,astar,5,5,6,505,Win
tiny,2,astar,6,6,6,504,Win
tiny,2,astar,7,9,16,501,Win
tiny,2,astar,8,10,12,500,Win
tiny,2,astar,9,4,4,506,Win
tiny,2,bds,0,6,11,504,Win
tiny,2,bds,1,13,23,497,Win
tiny,2,bds,2,5,9,505,Win
tiny,2,bds,3,3,3,507,Win
tiny,2,bds,4,16,24,494,Win
tiny,2,bds,5,5,11,505,Win
tiny,2,bds,6,6,8,504,Win
tiny,2,bds,7,9,17,501,Win
tiny,2,bds,8,10,18,500,Win
tiny,2,bds,9,4,6,506,Win
tiny,2,hbds,0,6,9,504,Win
tiny,2,hbds,1,13,19,497,Win
tiny,2,hbds,2,5,7,505,Win
tiny,2,hbds,3,3,6,507,Win
tiny,2,hbds,4,16,22,494,Win
tiny,2,hbds,5,5,11,505,Win
tiny,2,hbds,6,6,6,504,Win
tiny,2,hbds,7,9,15,501,Win
tiny,2,hbds,8,10,12,500,Win
tiny,2,hbds,9,4,4,506,Win
tiny,3,dfs,0,2,2,508,Win
tiny,3,dfs,1,12,26,498,Win
tiny,3,dfs,2,8,14,502,Win
tiny,3,dfs,3,10,10,500,Win
tiny,3,dfs,4,16,16,494,Win
tiny,3,dfs,5,7,7,503,Win
tiny,3,dfs,6,3,3,507,Win
tiny,3,dfs,7,5,27,505,Win
tiny,3,dfs,8,13,15,497,Win
tiny,3,dfs,9,6,27,504,Win
tiny,3,bfs,0,2,6,508,Win
tiny,3,bfs,1,12,21,498,Win
tiny,3,bfs,2,8,15,502,Win
tiny,3,bfs,3,10,20,500,Win
tiny,3,bfs,4,16,29,494,Win
tiny,3,bfs,5,7,16,503,Win
tiny,3,bfs,6,3,6,507,Win
tiny,3,bfs,7,5,15,505,Win
tiny,3,bfs,8,13,24,497,Win
tiny,3,bfs,9,6,14,504,Win
tiny,3,ucs,0,2,6,508,Win
tiny,3,ucs,1,12,21,498,Win
tiny,3,ucs,2,8,15,502,Win
tiny,3,ucs,3,10,20,500,Win
tiny,3,ucs,4,16,29,494,Win
tiny,3,ucs,5,7,16,503,Win
tiny,3,ucs,6,3,6,507,Win
tiny,3,ucs,7,5,15,505,Win
tiny,3,ucs,8,13,24,497,Win
tiny,3,ucs,9,6,14,504,Win
tiny,3,astar,0,2,2,508,Win
tiny,3,astar,1,12,20,498,Win
tiny,3,astar,2,8,10,502,Win
tiny,3,astar,3,10,11,500,Win
tiny,3,astar,4,16,28,494,Win
tiny,3,astar,5,7,10,503,Win
tiny,3,astar,6,3,4,507,Win
tiny,3,astar,7,5,7,505,Win
tiny,3,astar,8,13,21,497,Win
tiny,3,astar,9,6,9,504,Win
tiny,3,bds,0,2,4,508,Win
tiny,3,bds,1,12,27,498,Win
tiny,3,bds,2,8,13,502,Win
tiny,3,bds,3,10,23,500,Win
tiny,3,bds,4,16,26,494,Win
tiny,3,bds,5,7,18,503,Win
tiny,3,bds,6,3,4,507,Win
tiny,3,bds,7,5,9,505,Win
tiny,3,bds,8,13,28,497,Win
tiny,3,bds,9,6,9,504,Win
tiny,3,hbds,0,2,2,508,Win
tiny,3,hbds,1,12,17,498,Win
tiny,3,hbds,2,8,13,502,Win
tiny,3,hbds,3,10,13,500,Win
tiny,3,hbds,4,16,27,494,Win
tiny,3,hbds,5,7,11,503,Win
tiny,3,hbds,6,3,6,507,Win
tiny,3,hbds,7,5,9,505,Win
tiny,3,hbds,8,13,17,497,Win
tiny,3,hbds,9,6,9,504,Win
tiny,4,dfs,0,6,18,504,Win
tiny,4,dfs,1,9,13,501,Win
tiny,4,dfs,2,9,28,501,Win
tiny,4,dfs,3,14,20,496,Win
tiny,4,dfs,4,6,18,504,Win
tiny,4,dfs,5,4,19,506,Win
tiny,4,dfs,6,4,4,506,Win
tiny,4,dfs,7,7,28,503,Win
tiny,4,dfs,8,11,11,499,Win
tiny,4,dfs,9,5,15,505,Win
tiny,4,bfs,0,2,9,508,Win
tiny,4,bfs,1,7,16,503,Win
tiny,4,bfs,2,5,7,505,Win
tiny,4,bfs,3,12,22,498,Win
tiny,4,bfs,4,2,9,508,Win
tiny,4,bfs,5,4,11,506,Win
tiny,4,bfs,6,4,16,506,Win
tiny,4,bfs,7,7,25,503,Win
tiny,4,bfs,8,11,25,499,Win
tiny,4,bfs,9,5,16,505,Win
tiny,4,ucs,0,2,9,508,Win
tiny,4,ucs,1,7,16,503,Win
tiny,4,ucs,2,5,7,505,Win
tiny,4,ucs,3,12,22,498,Win
tiny,4,ucs,4,2,9,508,Win
tiny,4,ucs,5,4,11,506,Win
tiny,4,ucs,6,4,16,506,Win
tiny,4,ucs,7,7,25,503,Win
tiny,4,ucs,8,11,25,499,Win
tiny,4,ucs,9,5,16,505,Win
tiny,4,astar,0,2,2,508,Win
tiny,4,astar,1,7,11,503,Win
tiny,4,astar,2,5,5,505,Win
tiny,4,astar,3,12,17,498,Win
tiny,4,astar,4,2,2,508,Win
tiny,4,astar,5,4,6,506,Win
tiny,4,astar,6,4,5,506,Win
tiny,4,astar,7,7,9,503,Win
tiny,4,astar,8,11,15,499,Win
tiny,4,astar,9,5,7,505,Win
tiny,4,bds,0,2,5,508,Win
tiny,4,bds,1,7,14,503,Win
tiny,4,bds,2,5,6,505,Win
tiny,4,bds,3,12,22,498,Win
tiny,4,bds,4,2,5,508,Win
tiny,4,bds,5,4,8,506,Win
tiny,4,bds,6,4,7,506,Win
tiny,4,bds,7,7,13,503,Win
tiny,4,bds,8,11,24,499,Win
tiny,4,bds,9,5,11,505,Win
tiny,4,hbds,0,2,2,508,Win
tiny,4,hbds,1,7,9,503,Win
tiny,4,hbds,2,5,6,505,Win
tiny,4,hbds,3,12,15,498,Win
tiny,4,hbds,4,2,2,508,Win
tiny,4,hbds,5,4,12,506,Win
tiny,4,hbds,6,4,4,506,Win
tiny,4,hbds,7,7,9,503,Win
tiny,4,hbds,8,11,18,499,Win
tiny,4,hbds,9,5,8,505,Win
tiny,5,dfs,0,7,26,503,Win
tiny,5,dfs,1,2,2,508,Win
tiny,5,dfs,2,13,18,497,Win
tiny,5,dfs,3,6,19,504,Win
tiny,5,dfs,4,9,23,501,Win
tiny,5,dfs,5,11,26,499,Win
tiny,5,dfs,6,3,3,507,Win
tiny,5,dfs,7,10,25,500,Win
tiny,5,dfs,8,10,10,500,Win
tiny,5,dfs,9,14,28,496,Win
tiny,5,bfs,0,5,16,505,Win
tiny,5,bfs,1,2,2,508,Win
tiny,5,bfs,2,9,21,501,Win
tiny,5,bfs,3,4,13,506,Win
tiny,5,bfs,4,5,11,505,Win
tiny,5,bfs,5,9,17,501,Win
tiny,5,bfs,6,3,7,507,Win
tiny,5,bfs,7,8,19,502,Win
tiny,5,bfs,8,10,25,500,Win
tiny,5,bfs,9,10,28,500,Win
tiny,5,ucs,0,5,16,505,Win
tiny,5,ucs,1,2,2,508,Win
tiny,5,ucs,2,9,21,501,Win
tiny,5,ucs,3,4,13,506,Win
tiny,5,ucs,4,5,11,505,Win
tiny,5,ucs,5,9,17,501,Win
tiny,5,ucs,6,3,7,507,Win
tiny,5,ucs,7,8,19,502,Win
tiny,5,ucs,8,10,25,500,Win
tiny,5,ucs,9,10,28,500,Win
tiny,5,astar,0,5,6,505,Win
tiny,5,astar,1,2,2,508,Win
tiny,5,astar,2,9,14,501,Win
tiny,5,astar,3,4,7,506,Win
tiny,5,astar,4,5,6,505,Win
tiny,5,astar,5,9,11,501,Win
tiny,5,astar,6,3,3,507,Win
tiny,5,astar,7,8,12,502,Win
tiny,5,astar,8,10,14,500,Win
tiny,5,astar,9,10,17,500,Win
tiny,5,bds,0,5,10,505,Win
tiny,5,bds,1,2,2,508,Win
tiny,5,bds,2,9,18,501,Win
tiny,5,bds,3,4,8,506,Win
tiny,5,bds,4,5,8,505,Win
tiny,5,bds,5,9,13,501,Win
tiny,5,bds,6,3,5,507,Win
tiny,5,bds,7,8,13,502,Win
tiny,5,bds,8,10,15,500,Win
tiny,5,bds,9,10,15,500,Win
tiny,5,hbds,0,5,6,505,Win
tiny,5,hbds,1,2,2,508,Win
tiny,5,hbds,2,9,15,501,Win
tiny,5,hbds,3,4,5,506,Win
tiny,5,hbds,4,5,10,505,Win
tiny,5,hbds,5,9,14,501,Win
tiny,5,hbds,6,3,4,507,Win
tiny,5,hbds,7,8,11,502,Win
tiny,5,hbds,8,10,11,500,Win
tiny,5,hbds,9,10,11,500,Win
tiny,6,dfs,0,20,22,490,Win
tiny,6,dfs,1,14,14,496,Win
tiny,6,dfs,2,14,28,496,Win
tiny,6,dfs,3,17,19,493,Win
tiny,6,dfs,4,10,11,500,Win
tiny,6,dfs,5,11,12,499,Win
tiny,6,dfs,6,4,4,506,Win
tiny,6,dfs,7,6,6,504,Win
tiny,6,dfs,8,3,18,507,Win
tiny,6,dfs,9,5,5,505,Win
tiny,6,bfs,0,8,13,502,Win
tiny,6,bfs,1,4,5,506,Win
tiny,6,bfs,2,6,11,504,Win
tiny,6,bfs,3,7,18,503,Win
tiny,6,bfs,4,10,29,500,Win
tiny,6,bfs,5,11,25,499,Win
tiny,6,bfs,6,4,15,506,Win
tiny,6,bfs,7,6,20,504,Win
tiny,6,bfs,8,3,9,507,Win
tiny,6,bfs,9,5,18,505,Win
tiny,6,ucs,0,8,13,502,Win
tiny,6,ucs,1,4,5,506,Win
tiny,6,ucs,2,6,11,504,Win
tiny,6,ucs,3,7,18,503,Win
tiny,6,ucs,4,10,29,500,Win
tiny,6,ucs,5,11,25,499,Win
tiny,6,ucs,6,4,15,506,Win
tiny,6,ucs,7,6,20,504,Win
tiny,6,ucs,8,3,9,507,Win
tiny,6,ucs,9,5,18,505,Win
tiny,6,astar,0,8,10,502,Win
tiny,6,astar,1,4,4,506,Win
tiny,6,astar,2,6,7,504,Win
tiny,6,astar,3,7,10,503,Win
tiny,6,astar,4,10,17,500,Win
tiny,6,astar,5,11,13,499,Win
tiny,6,astar,6,4,4,506,Win
tiny,6,astar,7,6,8,504,Win
tiny,6,astar,8,3,3,507,Win
tiny,6,astar,9,5,5,505,Win
tiny,6,bds,0,8,18,502,Win
tiny,6,bds,1,4,4,506,Win
tiny,6,bds,2,6,6,504,Win
tiny,6,bds,3,7,15,503,Win
tiny,6,bds,4,10,21,500,Win
tiny,6,bds,5,11,24,499,Win
tiny,6,bds,6,4,7,506,Win
tiny,6,bds,7,6,12,504,Win
tiny,6,bds,8,3,4,507,Win
tiny,6,bds,9,5,12,505,Win
tiny,6,hbds,0,8,14,502,Win
tiny,6,hbds,1,4,6,506,Win
tiny,6,hbds,2,6,6,504,Win
tiny,6,hbds,3,7,11,503,Win
tiny,6,hbds,4,10,13,500,Win
tiny,6,hbds,5,11,14,499,Win
tiny,6,hbds,6,4,4,506,Win
tiny,6,hbds,7,6,10,504,Win
tiny,6,hbds,8,3,3,507,Win
tiny,6,hbds,9,5,8,505,Win
tiny,7,dfs,0,2,17,508,Win
tiny,7,dfs,1,1,1,509,Win
tiny,7,dfs,2,11,24,499,Win
tiny,7,dfs,3,4,4,506,Win
tiny,7,dfs,4,4,4,506,Win
tiny,7,dfs,5,12,24,498,Win
tiny,7,dfs,6,3,28,507,Win
tiny,7,dfs,7,2,28,508,Win
tiny,7,dfs,8,7,7,503,Win
tiny,7,dfs,9,6,13,504,Win
tiny,7,bfs,0,2,3,508,Win
tiny,7,bfs,1,1,3,509,Win
tiny,7,bfs,2,9,21,501,Win
tiny,7,bfs,3,4,10,506,Win
tiny,7,bfs,4,4,12,506,Win
tiny,7,bfs,5,10,21,500,Win
tiny,7,bfs,6,3,5,507,Win
tiny,7,bfs,7,2,3,508,Win
tiny,7,bfs,8,5,14,505,Win
tiny,7,bfs,9,4,12,506,Win
tiny,7,ucs,0,2,3,508,Win
tiny,7,ucs,1,1,3,509,Win
tiny,7,ucs,2,9,21,501,Win
tiny,7,ucs,3,4,10,506,Win
tiny,7,ucs,4,4,12,506,Win
tiny,7,ucs,5,10,21,500,Win
tiny,7,ucs,6,3,5,507,Win
tiny,7,ucs,7,2,3,508,Win
tiny,7,ucs,8,5,14,505,Win
tiny,7,ucs,9,4,12,506,Win
tiny,7,astar,0,2,2,508,Win
tiny,7,astar,1,1,1,509,Win
tiny,7,astar,2,9,13,501,Win
tiny,7,astar,3,4,5,506,Win
tiny,7,astar,4,4,4,506,Win
tiny,7,astar,5,10,13,500,Win
tiny,7,astar,6,3,3,507,Win
tiny,7,astar,7,2,2,508,Win
tiny,7,astar,8,5,8,505,Win
tiny,7,astar,9,4,5,506,Win
tiny,7,bds,0,2,2,508,Win
tiny,7,bds,1,1,1,509,Win
tiny,7,bds,2,9,20,501,Win
tiny,7,bds,3,4,6,506,Win
tiny,7,bds,4,4,8,506,Win
tiny,7,bds,5,10,20,500,Win
tiny,7,bds,6,3,3,507,Win
tiny,7,bds,7,2,2,508,Win
tiny,7,bds,8,5,10,505,Win
tiny,7,bds,9,4,7,506,Win
tiny,7,hbds,0,2,2,508,Win
tiny,7,hbds,1,1,1,509,Win
tiny,7,hbds,2,9,13,501,Win
tiny,7,hbds,3,4,5,506,Win
tiny,7,hbds,4,4,4,506,Win
tiny,7,hbds,5,10,19,500,Win
tiny,7,hbds,6,3,4,507,Win
tiny,7,hbds,7,2,2,508,Win
tiny,7,hbds,8,5,7,505,Win
tiny,7,hbds,9,4,6,506,Win
tiny,8,dfs,0,8,8,502,Win
tiny,8,dfs,1,5,6,505,Win
tiny,8,dfs,2,3,3,507,Win
tiny,8,dfs,3,14,16,496,Win
tiny,8,dfs,4,5,28,505,Win
tiny,8,dfs,5,14,17,496,Win
tiny,8,dfs,6,6,9,504,Win
tiny,8,dfs,7,3,3,507,Win
tiny,8,dfs,8,3,28,507,Win
tiny,8,dfs,9,11,14,499,Win
tiny,8,bfs,0,6,10,504,Win
tiny,8,bfs,1,5,14,505,Win
tiny,8,bfs,2,3,7,507,Win
tiny,8,bfs,3,12,19,498,Win
tiny,8,bfs,4,5,15,505,Win
tiny,8,bfs,5,14,28,496,Win
tiny,8,bfs,6,6,22,504,Win
tiny,8,bfs,7,3,7,507,Win
tiny,8,bfs,8,3,5,507,Win
tiny,8,bfs,9,11,26,499,Win
tiny,8,ucs,0,6,10,504,Win
tiny,8,ucs,1,5,14,505,Win
tiny,8,ucs,2,3,7,507,Win
tiny,8,ucs,3,12,19,498,Win
tiny,8,ucs,4,5,15,505,Win
tiny,8,ucs,5,14,28,496,Win
tiny,8,ucs,6,6,22,504,Win
tiny,8,ucs,7,3,7,507,Win
tiny,8,ucs,8,3,5,507,Win
tiny,8,ucs,9,11,26,499,Win
tiny,8,astar,0,6,6,504,Win
tiny,8,astar,1,5,6,505,Win
tiny,8,astar,2,3,3,507,Win
tiny,8,astar,3,12,15,498,Win
tiny,8,astar,4,5,6,505,Win
tiny,8,astar,5,14,19,496,Win
tiny,8,astar,6,6,7,504,Win
tiny,8,astar,7,3,3,507,Win
tiny,8,astar,8,3,5,507,Win
tiny,8,astar,9,11,14,499,Win
tiny,8,bds,0,6,7,504,Win
tiny,8,bds,1,5,9,505,Win
tiny,8,bds,2,3,5,507,Win
tiny,8,bds,3,12,20,498,Win
tiny,8,bds,4,5,11,505,Win
tiny,8,bds,5,14,21,496,Win
tiny,8,bds,6,6,16,504,Win
tiny,8,bds,7,3,5,507,Win
tiny,8,bds,8,3,4,507,Win
tiny,8,bds,9,11,19,499,Win
tiny,8,hbds,0,6,6,504,Win
tiny,8,hbds,1,5,7,505,Win
tiny,8,hbds,2,3,4,507,Win
tiny,8,hbds,3,12,20,498,Win
tiny,8,hbds,4,5,7,505,Win
tiny,8,hbds,5,14,18,496,Win
tiny,8,hbds,6,6,7,504,Win
tiny,8,hbds,7,3,4,507,Win
tiny,8,hbds,8,3,4,507,Win
tiny,8,hbds,9,11,17,499,Win
tiny,9,dfs,0,10,21,500,Win
tiny,9,dfs,1,5,11,505,Win
tiny,9,dfs,2,4,23,506,Win
tiny,9,dfs,3,9,15,501,Win
tiny,9,dfs,4,8,11,502,Win
tiny,9,dfs,5,6,7,504,Win
tiny,9,dfs,6,7,24,503,Win
tiny,9,dfs,7,10,10,500,Win
tiny,9,dfs,8,1,5,509,Win
tiny,9,dfs,9,10,13,500,Win
tiny,9,bfs,0,10,16,500,Win
tiny,9,bfs,1,5,18,505,Win
tiny,9,bfs,2,4,13,506,Win
tiny,9,bfs,3,9,25,501,Win
tiny,9,bfs,4,6,14,504,Win
tiny,9,bfs,5,6,9,504,Win
tiny,9,bfs,6,7,14,503,Win
tiny,9,bfs,7,10,27,500,Win
tiny,9,bfs,8,1,1,509,Win
tiny,9,bfs,9,10,26,500,Win
tiny,9,ucs,0,10,16,500,Win
tiny,9,ucs,1,5,18,505,Win
tiny,9,ucs,2,4,13,506,Win
tiny,9,ucs,3,9,25,501,Win
tiny,9,ucs,4,6,14,504,Win
tiny,9,ucs,5,6,9,504,Win
tiny,9,ucs,6,7,14,503,Win
tiny,9,ucs,7,10,27,500,Win
tiny,9,ucs,8,1,1,509,Win
tiny,9,ucs,9,10,26,500,Win
tiny,9,astar,0,10,14,500,Win
tiny,9,astar,1,5,9,505,Win
tiny,9,astar,2,4,4,506,Win
tiny,9,astar,3,9,16,501,Win
tiny,9,astar,4,6,10,504,Win
tiny,9,astar,5,6,7,504,Win
tiny,9,astar,6,7,9,503,Win
tiny,9,astar,7,10,11,500,Win
tiny,9,astar,8,1,1,509,Win
tiny,9,astar,9,10,14,500,Win
tiny,9,bds,0,10,18,500,Win
tiny,9,bds,1,5,9,505,Win
tiny,9,bds,2,4,9,506,Win
tiny,9,bds,3,9,18,501,Win
tiny,9,bds,4,6,16,504,Win
tiny,9,bds,5,6,11,504,Win
tiny,9,bds,6,7,17,503,Win
tiny,9,bds,7,10,18,500,Win
tiny,9,bds,8,1,1,509,Win
tiny,9,bds,9,10,19,500,Win
tiny,9,hbds,0,10,18,500,Win
tiny,9,hbds,1,5,10,505,Win
tiny,9,hbds,2,4,4,506,Win
tiny,9,hbds,3,9,11,501,Win
tiny,9,hbds,4,6,14,504,Win
tiny,9,hbds,5,6,7,504,Win
tiny,9,hbds,6,7,9,503,Win
tiny,9,hbds,7,10,11,500,Win
tiny,9,hbds,8,1,1,509,Win
tiny,9,hbds,9,10,12,500,Win
small,0,dfs,0,9,27,501,Win
small,0,dfs,1,7,109,503,Win
small,0,dfs,2,39,72,471,Win
small,0,dfs,3,43,52,467,Win
small,0,dfs,4,20,38,490,Win
small,0,dfs,5,34,51,476,Win
small,0,dfs,6,16,106,494,Win
small,0,dfs,7,9,36,501,Win
small,0,dfs,8,24,43,486,Win
small,0,dfs,9,9,9,501,Win
small,0,bfs,0,7,37,503,Win
small,0,bfs,1,7,16,503,Win
small,0,bfs,2,27,83,483,Win
small,0,bfs,3,27,58,483,Win
small,0,bfs,4,12,56,498,Win
small,0,bfs,5,22,91,488,Win
small,0,bfs,6,10,27,500,Win
small,0,bfs,7,9,29,501,Win
small,0,bfs,8,20,68,490,Win
small,0,bfs,9,9,24,501,Win
small,0,ucs,0,7,37,503,Win
small,0,ucs,1,7,16,503,Win
small,0,ucs,2,27,83,483,Win
small,0,ucs,3,27,58,483,Win
small,0,ucs,4,12,56,498,Win
small,0,ucs,5,22,91,488,Win
small,0,ucs,6,10,27,500,Win
small,0,ucs,7,9,29,501,Win
